date,open,high,low,close,volume,adj_close,200_dma,200_dma_pct_diff,200_dma_top_band,200_dma_bot_band,60_dma,60_dma_pct_diff,60_dma_top_band,60_dma_bot_band,20_dma,20_dma_pct_diff,20_dma_top_band,20_dma_bot_band,200_vma,200_vma_pct_diff,200_vma_top_band,200_vma_bot_band,60_vma,60_vma_pct_diff,60_vma_top_band,60_vma_bot_band,20_vma,20_vma_pct_diff,20_vma_top_band,20_vma_bot_band
2011-08-12,2507.01,2524.09,2481.50,2507.98,2232470000,2507.98,2708.59,-0.07,2844.01,2573.16,2722.92,-0.08,2859.06,2586.77,2688.44,-0.07,2822.86,2554.02,2443009354.00,-0.09,2565159821.70,2320858886.30,2089290333.33,0.07,2193754850.00,1984825816.67,2493750000.00,-0.10,2618437500.00,2369062500.00
2011-08-11,2415.54,2516.39,2399.56,2492.68,3134140000,2492.68,2708.61,-0.08,2844.04,2573.18,2727.76,-0.09,2864.15,2591.37,2701.94,-0.08,2837.03,2566.84,2436910404.00,0.29,2558755924.20,2315064883.80,2074062000.00,0.51,2177765100.00,1970358900.00,2434368000.00,0.29,2556086400.00,2312649600.00
2011-08-10,2425.55,2461.28,2378.08,2381.05,3397010000,2381.05,2709.16,-0.12,2844.62,2573.70,2734.45,-0.13,2871.17,2597.73,2722.73,-0.13,2858.87,2586.59,2428656954.00,0.40,2550089801.70,2307224106.30,2051878833.33,0.66,2154472775.00,1949284891.67,2358793000.00,0.44,2476732650.00,2240853350.00
2011-08-09,2402.13,2483.66,2331.65,2482.52,3803050000,2482.52,2709.14,-0.08,2844.60,2573.68,2740.21,-0.09,2877.22,2603.20,2737.70,-0.09,2874.59,2600.82,2417882604.00,0.57,2538776734.20,2296988473.80,2020445500.00,0.88,2121467775.00,1919423225.00,2269411000.00,0.68,2382881550.00,2155940450.00
2011-08-08,2447.30,2489.39,2357.69,2357.69,3987990000,2357.69,2709.65,-0.13,2845.13,2574.17,2748.64,-0.14,2886.07,2611.20,2759.95,-0.15,2897.94,2621.95,2408620054.00,0.66,2529051056.70,2288189051.30,1990806500.00,1.00,2090346825.00,1891266175.00,2158307500.00,0.85,2266222875.00,2050392125.00
2011-08-05,2580.30,2592.04,2464.87,2532.41,3750150000,2532.41,2709.28,-0.07,2844.74,2573.81,2753.85,-0.08,2891.54,2616.15,2776.32,-0.09,2915.13,2637.50,2399953154.00,0.56,2519950811.70,2279955496.30,1965950166.67,0.91,2064247675.00,1867652658.33,2051406000.00,0.83,2153976300.00,1948835700.00
2011-08-04,2648.38,2653.79,2556.38,2556.39,3272990000,2556.39,2708.68,-0.06,2844.11,2573.25,2759.11,-0.07,2897.06,2621.15,2792.13,-0.08,2931.74,2652.52,2394797404.00,0.37,2514537274.20,2275057533.80,1945033666.67,0.68,2042285350.00,1847781983.33,1981442000.00,0.65,2080514100.00,1882369900.00
2011-08-03,2673.97,2695.37,2621.67,2693.07,2601310000,2693.07,2707.62,-0.01,2843.00,2572.24,2761.61,-0.02,2899.69,2623.53,2799.18,-0.04,2939.14,2659.22,2390414404.00,0.09,2509935124.20,2270893683.80,1929163666.67,0.35,2025621850.00,1832705483.33,1933351000.00,0.35,2030018550.00,1836683450.00
2011-08-02,2728.29,2745.87,2668.68,2669.24,2377250000,2669.24,2706.62,-0.01,2841.95,2571.28,2764.25,-0.03,2902.46,2626.03,2807.00,-0.05,2947.35,2666.65,2389692204.00,-0.01,2509176814.20,2270207593.80,1923605166.67,0.24,2019785425.00,1827424908.33,1892319500.00,0.26,1986935475.00,1797703525.00
2011-08-01,2791.45,2796.24,2716.30,2744.61,2209790000,2744.61,2705.07,0.01,2840.32,2569.82,2765.42,-0.01,2903.69,2627.15,2810.58,-0.02,2951.10,2670.05,2388715954.00,-0.07,2508151751.70,2269280156.30,1923903500.00,0.15,2020098675.00,1827708325.00,1864149000.00,0.19,1957356450.00,1770941550.00
2011-07-29,2736.67,2780.58,2724.99,2756.38,2301210000,2756.38,2703.49,0.02,2838.67,2568.32,2766.61,-0.00,2904.94,2628.28,2811.43,-0.02,2952.00,2670.86,2388682154.00,-0.04,2508116261.70,2269248046.30,1922376333.33,0.20,2018495150.00,1826257516.67,1842045000.00,0.25,1934147250.00,1749942750.00
2011-07-28,2765.61,2800.11,2757.85,2766.25,2067020000,2766.25,2701.75,0.02,2836.84,2566.66,2767.87,-0.00,2906.26,2629.48,2810.14,-0.02,2950.65,2669.64,2388151654.00,-0.13,2507559236.70,2268744071.30,1924832333.33,0.07,2021073950.00,1828590716.67,1828918500.00,0.13,1920364425.00,1737472575.00
2011-07-27,2823.62,2823.86,2761.00,2764.79,2367470000,2764.79,2699.94,0.02,2834.94,2564.94,2769.52,-0.00,2908.00,2631.05,2808.37,-0.02,2948.79,2667.95,2384014254.00,-0.01,2503214966.70,2264813541.30,1919751666.67,0.23,2015739250.00,1823764083.33,1794674500.00,0.32,1884408225.00,1704940775.00
